PERSON_ID,DISPLAY_FIRST_LAST,FROM_YEAR,TEAM_ID,TEAM_NAME,HEIGHT,WEIGHT
1629723,John Konchar,2019,1610612763,Grizzlies,6-5,210
1629020,Jarred Vanderbilt,2018,1610612750,Timberwolves,6-9,214
1629103,Kelan Martin,2019,1610612738,Celtics,6-5,230
1629022,Lonnie Walker IV,2018,1610612759,Spurs,6-4,204
1629667,Jalen McDaniels,2019,1610612766,Hornets,6-9,205
1629162,Jordan McLaughlin,2019,1610612750,Timberwolves,5-11,185
1629627,Zion Williamson,2019,1610612740,Pelicans,6-6,284
1628997,Caleb Martin,2019,1610612748,Heat,6-5,205
1629610,DaQuan Jeffries,2019,0,,6-5,222
1629743,Donta Hall,2019,0,,6-10,230
1629185,Chris Chiozza,2018,1610612744,Warriors,5-11,175
1629640,Keldon Johnson,2019,1610612759,Spurs,6-6,220
1628985,Devon Hall,2019,1610612760,Thunder,6-5,215
1629647,Darius Bazley,2019,1610612760,Thunder,6-8,208
1630164,James Wiseman,2020,1610612744,Warriors,7-0,240
1630171,Isaac Okoro,2020,1610612739,Cavaliers,6-5,225
1630169,Tyrese Haliburton,2020,1610612754,Pacers,6-5,185
1630217,Desmond Bane,2020,1610612763,Grizzlies,6-5,215
1630271,Brodric Thomas,2020,1610612738,Celtics,6-5,185
1629308,Juan Toscano-Anderson,2019,1610612744,Warriors,6-6,209
1629676,Isaiah Roby,2019,1610612760,Thunder,6-8,230
1630165,Killian Hayes,2020,1610612765,Pistons,6-5,195
1630202,Payton Pritchard,2020,1610612738,Celtics,6-1,195
1630163,LaMelo Ball,2020,1610612766,Hornets,6-7,180
1630256,Jae'Sean Tate,2020,1610612745,Rockets,6-4,230
1630193,Immanuel Quickley,2020,1610612752,Knicks,6-3,190
1629638,Nickeil Alexander-Walker,2019,1610612762,Jazz,6-5,205
1630170,Devin Vassell,2020,1610612759,Spurs,6-5,200
1630172,Patrick Williams,2020,1610612741,Bulls,6-7,215
1630198,Isaiah Joe,2020,1610612755,76ers,6-4,165
1630175,Cole Anthony,2020,1610612753,Magic,6-3,185
1630173,Precious Achiuwa,2020,1610612761,Raptors,6-8,225
1629670,Jordan Nwora,2020,1610612749,Bucks,6-8,225
1630180,Saddiq Bey,2020,1610612765,Pistons,6-7,215
1630197,Aleksej Pokusevski,2020,1610612760,Thunder,7-0,190
1629626,Bol Bol,2019,1610612753,Magic,7-2,220
1630211,Karim Mane,2020,0,,6-3,190
1628408,P.J. Dozier,2017,0,,6-6,205
1630182,Josh Green,2020,1610612742,Mavericks,6-5,200
1630183,Jaden McDaniels,2020,1610612750,Timberwolves,6-9,185
1630264,Anthony Gill,2020,1610612764,Wizards,6-7,230
1629685,Dylan Windler,2019,1610612739,Cavaliers,6-6,196
1629617,Reggie Perry,2020,0,,6-8,250
1630214,Xavier Tillman,2020,1610612763,Grizzlies,6-8,245
1629632,Coby White,2019,1610612741,Bulls,6-4,195
1630177,Theo Maledon,2020,1610612760,Thunder,6-4,175
1630191,Isaiah Stewart,2020,1610612765,Pistons,6-8,250
1630162,Anthony Edwards,2020,1610612750,Timberwolves,6-4,225
1628539,Mychal Mulder,2019,1610612744,Warriors,6-3,184
